,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
70,1.0,0.75,0.25,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.25,0.25,0.5,0.5,0.75,0.25,0.3956043956043956,0.0,3
71,0.5,0.25,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.0,0.0,3
72,0.625,0.625,0.75,0.5,0.5,0.625,0.625,0.5,0.5,0.5,0.5,0.625,0.375,0.375,0.75,0.625,0.625,0.875,0.0,0.0,3
73,0.25,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.3296703296703297,0.0,3
74,0.5,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.3772893772893773,0.0,4
75,0.6646341463414634,0.5365853658536586,0.6890243902439024,0.5792682926829268,0.5792682926829268,0.6585365853658537,0.7195121951219512,0.7195121951219512,0.5792682926829268,0.5792682926829268,0.5792682926829268,0.5182926829268293,0.5670731707317073,0.5853658536585366,0.4939024390243902,0.5914634146341463,0.4939024390243902,0.5609756097560976,0.3769708552317249,1.3076923076923077,4
76,0.75,0.4583333333333333,0.875,0.75,0.75,0.5833333333333334,0.75,0.7083333333333334,0.75,0.75,0.75,0.5416666666666666,0.4583333333333333,0.625,0.5416666666666666,0.75,0.5,0.9166666666666666,0.3824175824175825,0.0,4
77,0.7291666666666666,0.7291666666666666,0.75,0.6458333333333334,0.6458333333333334,0.6041666666666666,0.8541666666666666,0.8541666666666666,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.4375,0.5625,0.75,0.4375,0.625,0.4375,0.6041666666666666,0.5421245421245421,3.0,2
78,0.6647058823529411,0.6882352941176471,0.6794117647058824,0.6735294117647059,0.6735294117647059,0.5147058823529411,0.8323529411764706,0.8352941176470589,0.6794117647058824,0.6794117647058824,0.6735294117647059,0.4264705882352941,0.6294117647058823,0.4882352941176471,0.4176470588235294,0.6911764705882353,0.4264705882352941,0.5176470588235295,0.4607392607392608,1.96875,2
79,0.5882352941176471,0.6911764705882353,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6029411764705882,0.6470588235294118,0.6323529411764706,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.5735294117647058,0.6911764705882353,0.5588235294117647,0.5735294117647058,0.6911764705882353,0.5882352941176471,0.4852941176470588,0.4780219780219779,3.25,2
